name,address,city,state,zip,phone,website,latitude,longitude,scope,source,facility_type,primary_focus,substances,age_groups,identity_factors,insurance,settings,therapy_approaches,languages
"North Shore Community Health, Inc.",27 Congress Street,Salem,MA,1970,978-744-8388,https://www.nschi.org,42.51676929,-70.88932542,national,findtreatment.gov,HRSA,,,,,,,,english
BNHC Community Care In Reach,63 Main St,Brockton,MA,2301,508-559-6699,https://www.bnhc.org,42.08454317,-71.02015008,national,findtreatment.gov,HRSA,,,,,,,,english
Centerville Recreation Building,524 Main Street,Centerville,MA,2632,508-905-2800,https://outercape.org,41.64688675,-70.34655201,national,findtreatment.gov,HRSA,,,,,,,,english
Worcester East Middle School Health Center,420 Grafton Street,Worcester,MA,1604,508-796-7037,https://www.fhcw.org,42.25297244,-71.78287553,national,findtreatment.gov,HRSA,,,,,,,,english
Unit 1-10 Town Plaza Condominium South Dennis,"900 Route 134, #1-3 Bldg 1",South Dennis,MA,2660,781-780-7413 x165,,41.71564794,-70.15397024,national,findtreatment.gov,HRSA,,,,,,,,english
South Boston Community Health Center,386 W Broadway,South Boston,MA,2127,617-464-7509,https://www.shchc.org,42.33762434,-71.04852115,national,findtreatment.gov,HRSA,,,,,,,,english
Mattapan Community Health Center,1575 Blue Hill Avenue,Mattapan,MA,2126,617-296-0061,https://www.mattapanchc.org,42.26981743,-71.09381846,national,findtreatment.gov,HRSA,,,,,,,,english
CHP Great Barrington Family Health and Dental Center,444 Stockbridge Road,Great Barrington,MA,1230,413-528-8580,https://www.chpberkshires.org/,42.21957358,-73.3431943,national,findtreatment.gov,HRSA,,,,,,,,english
City of Springfield Mobile Medical Van,311 State Street,Springfield,MA,1105,413-787-6741,,42.10527518,-72.58140586,national,findtreatment.gov,HRSA,,,,,,,,english
Doherty Memorial High School Health Center,299 Highland St,Worcester,MA,1602,508-755-7527,https://www.wpsweb.com/doherty/,42.2691763,-71.82161216,national,findtreatment.gov,HRSA,,,,,,,,english
CHP Neighborhood Health Center,510 North St,Pittsfield,MA,1201,413-447-2351,https://www.chpberkshires.org/,42.45551862,-73.25108129,national,findtreatment.gov,HRSA,,,,,,,,english
"UMass Memorial Health, Belmont Campus",119 Belmont St,Worcester,MA,1605,508-860-7700,https://www.umassmemorial.org,42.27263526,-71.79174878,national,findtreatment.gov,HRSA,,,,,,,,english
Cobbet Elementary School School Based Health Center,40 Franklin St,Lynn,MA,1902,781-477-7341,,42.46541203,-70.95455691,national,findtreatment.gov,HRSA,,,,,,,,english
HARVARD STREET NEIGHBORHOOD HEALTH CENTER INC,895 Blue Hill Avenue,Dorchester Center,MA,2124,617-825-3400,https://www.harvardstreet.org,42.29404402,-71.08831289,national,findtreatment.gov,HRSA,,,,,,,,english
"Brickett Elementary School, School Based Health Center",123 Lewis Street,Lynn,MA,1902,781-477-7333,,42.46583557,-70.93090863,national,findtreatment.gov,HRSA,,,,,,,,english
Community Health Center of Cape Cod - Falmouth,210 Jones Rd,Falmouth,MA,2540,508-540-2949,https://chcofcapecod.org,41.56144205,-70.61147866,national,findtreatment.gov,HRSA,,,,,,,,english
ROOSEVELT SCHOOL HEALTH CENTER,1006 Grafton Street,Worcester,MA,1604,508-798-3229,https://www.kennedychc.org,42.24381446,-71.75675735,national,findtreatment.gov,HRSA,,,,,,,,english
Lowell CHC - 101 Jackson Street,101 Jackson St,Lowell,MA,1852,978-937-9700,https://www.lchealth.org,42.64241406,-71.31134025,national,findtreatment.gov,HRSA,,,,,,,,english
"Elder Service Plan, Brockton",479 Torrey St,Brockton,MA,2301,617-533-2400,https://www.hhsi.us,42.07135492,-71.06407796,national,findtreatment.gov,HRSA,,,,,,,,english
Community Health Center of Cape Cod - Bourne,123 Waterhouse Rd STE 1,Bourne,MA,2532,508-759-7920,https://www.chcofcapecod.org,41.7284101,-70.58506871,national,findtreatment.gov,HRSA,,,,,,,,english
ACTION Community Health Center,130 Water St,Fitchburg,MA,1420,978-878-8100,https://chcfhc.org,42.58054648,-71.79401156,national,findtreatment.gov,HRSA,,,,,,,,english
Whittier mobile health van#1,1290 Tremont Street,Roxbury Crossing,MA,2120,617-427-1000,,42.33295973,-71.09207595,national,findtreatment.gov,HRSA,,,,,,,,english
North Quabbin Health Center - Medical,119 New Athol Road,Orange,MA,1364,978-544-7800,https://www.chcfc.org,42.5837728,-72.26435359,national,findtreatment.gov,HRSA,,,,,,,,english
Community Health Center of Cape Cod - Falmouth Housing Outreach,115 Scranton Avenue,Falmouth,MA,2540,508-477-7090,https://www.chcofcapecod.org,41.55129734,-70.60463727,national,findtreatment.gov,HRSA,,,,,,,,english
Compass Recovery,975 A Springfield Street,Feeding Hills,MA,1030,413-861-0680,https://www.compassrecoverytreatment.com,,,national,findtreatment.gov,SA,substance_use,alcohol|opioids,adult|young_adult,,private|uninsured,intensive_outpatient|outpatient|telehealth,cbt|mat|twelve_step,english
Gavin Foundation Center for Recovery Services,210 Old Colony Avenue,Boston,MA,2127,617-268-5000 x1,https://www.gavinfoundation.org,42.3330016,-71.0537,national,findtreatment.gov,MH,dual_diagnosis,,adult|older_adult|young_adult,,medicaid_medicare|private|uninsured,outpatient,cbt|mat,english
Better Life Partners,1900 West Park Drive,Westborough,MA,1581,866-679-0831,https://betterlifepartners.com,42.2810633,-71.5725269,national,findtreatment.gov,MH,dual_diagnosis,,adult|older_adult|young_adult,,medicaid_medicare|private|uninsured,outpatient|telehealth,cbt,english
Monomoy Health,,Watertown,MA,2472,617-286-4059,https://www.monomoyhealth.com,,,national,findtreatment.gov,MH,mental_health,,adolescent|adult|older_adult|young_adult,veteran,private|uninsured,outpatient|telehealth,,english
Austen Riggs Center,25 Main Street,Stockbridge,MA,1262,413-298-5511,https://www.austenriggs.org/,42.283076,-73.313441,national,findtreatment.gov,MH,mental_health,,adult|older_adult|young_adult,veteran,private|uninsured,intensive_outpatient|outpatient|residential,cbt|mat,english
TILL Strattus MH Services,20 Eastbrook Road,Dedham,MA,2026,781-329-9365,https://www.tillinc.org,42.2546787,-71.1665745,national,findtreatment.gov,MH,mental_health,,adolescent|adult|older_adult|young_adult,,medicaid_medicare|private|uninsured,outpatient|telehealth,cbt,english
228 COE House,228 Concord Street,Framingham,MA,1702,508-424-5066,https://www.smoc.org,,,national,findtreatment.gov,MH,dual_diagnosis,,adult|older_adult|young_adult,,medicaid_medicare,residential,cbt,english
Bridge and Perinatal BH Programs at South Weymouth,797 Main Street,South Weymouth,MA,2190,781-624-5065,https://www.southshorehealth.org,42.1781283,-70.9559682,national,findtreatment.gov,MH,dual_diagnosis,,adult|older_adult|young_adult,,medicaid_medicare|private|uninsured|va_tricare,outpatient|telehealth,cbt|mat,english
Better Life Partners,67 East Street,Pittsfield,MA,1201,866-679-0831,https://betterlifepartners.com,42.4488303,-73.2523488,national,findtreatment.gov,MH,dual_diagnosis,,adult|older_adult|young_adult,,medicaid_medicare|private|uninsured,outpatient|telehealth,cbt,english
Fellside,,Medford,MA,2153,781-648-6053,https://www.gouldfarm.org,,,national,findtreatment.gov,MH,mental_health,,adult|older_adult|young_adult,,private|uninsured,outpatient|residential,cbt,english
Aftermath Addiction Treatment Ctr LLC,607 North Avenue,Wakefield,MA,1880,781-587-3636,https://aftermathtreatmentcenter.com/,42.5157637,-71.0870395,national,findtreatment.gov,SA,dual_diagnosis,alcohol|opioids,adult|young_adult,woman,medicaid_medicare|private|uninsured|va_tricare,intensive_outpatient|outpatient|telehealth,cbt|mat|twelve_step,english
Better Life Partners,51 Hamilton Street,Holyoke,MA,1040,866-679-0831,https://betterlifepartners.com,42.1984649,-72.6067704,national,findtreatment.gov,SA,dual_diagnosis,alcohol|opioids,adult|young_adult,,medicaid_medicare|private|uninsured|va_tricare,outpatient|telehealth,cbt|mat,english
Massachusetts Center for Adolescent Wellness,639 Granite Street,Braintree,MA,2184,855-451-2503,https://www.masscenters.com,42.2099556,-71.0216471,national,findtreatment.gov,MH,dual_diagnosis,,adolescent|adult,,private|uninsured,intensive_outpatient|outpatient,cbt|mat,english
Gateway CBHC,1109 Granby Road,Chicopee,MA,1020,833-243-8255,https://www.chd.org,42.1726308,-72.5880646,national,findtreatment.gov,MH,dual_diagnosis,,adolescent|adult|older_adult|young_adult,,medicaid_medicare|private|uninsured|va_tricare,outpatient|residential|telehealth,cbt|mat,english
GRIT Yale Co Occurring Enhanced (COE),,Holyoke,MA,1040,413-233-5354,https://www.mhainc.org/grit/,,,national,findtreatment.gov,MH,dual_diagnosis,,adult|older_adult|young_adult,,medicaid_medicare|private,residential|telehealth,cbt|mat,english
Children Making Strides,6 Resnik Road,Plymouth,MA,2360,508-563-5767,https://www.cmsaba.com,41.9496067,-70.7122629,national,findtreatment.gov,MH,mental_health,,adolescent|adult,,medicaid_medicare|private|uninsured,outpatient,,english
Healthcare Resource Centers Baymark Health,50 Miles Street,Greenfield,MA,1301,413-774-3321,https://www.hcrcenters.com/health-care-resource-centers-greenfield/,42.5864928,-72.6026071,national,findtreatment.gov,SA,dual_diagnosis,alcohol|opioids,adult|young_adult,woman,medicaid_medicare|private|uninsured|va_tricare,outpatient|telehealth,cbt|mat,english
Link House Inc,37 Washington Street,Newburyport,MA,1950,978-462-7341,https://www.linkhouseinc.org,42.81134226,-70.87752872,national,findtreatment.gov,SA,substance_use,alcohol,adult|young_adult,,medicaid_medicare|private,residential,cbt|mat,english
EMH Recovery Inc Edwina Martin Recovery House,678 North Main Street,Brockton,MA,2301,508-583-0493,https://www.emhouse.org,42.1005975,-71.0215007,national,findtreatment.gov,SA,dual_diagnosis,alcohol|opioids,adult|young_adult,woman,medicaid_medicare,residential|telehealth,cbt|mat|twelve_step,english
JRI Behavioral Health Center Salem,110 Boston Street,Salem,MA,1970,978-744-7905,https://jri.org/services/community/childrens-friend-and-family-services,42.5211317,-70.9126204,national,findtreatment.gov,SA,dual_diagnosis,alcohol,,,medicaid_medicare|private|uninsured,outpatient|telehealth,cbt|mat,english
Two Rivers Recovery Ctr for Women,,Greenfield,MA,1301,413-512-5024,https://www.chd.org,,,national,findtreatment.gov,SA,dual_diagnosis,alcohol|opioids,adult|young_adult,veteran|woman,medicaid_medicare|private|va_tricare,residential,mat|twelve_step,english
VOA Behavioral Health Services,1419 Hancock Street,Quincy,MA,2169,617-770-9690,https://www.voamass.org,42.2492393,-71.0027418,national,findtreatment.gov,MH,dual_diagnosis,,adolescent|adult|older_adult|young_adult,veteran,medicaid_medicare|private|uninsured,outpatient|telehealth,cbt|mat,english
Megans House,32 Berry Road,Lowell,MA,1854,978-455-6973,https://www.themeganhouse.org,42.6525878,-71.344917,national,findtreatment.gov,SA,dual_diagnosis,alcohol,adult|young_adult,,medicaid_medicare|private|va_tricare,residential,cbt|mat|twelve_step,english
North Charles Institute for the Addict Medication Unit at the Camb,,Cambridge,MA,2140,617-876-0823,https://www.northcharles.org,,,national,findtreatment.gov,SA,substance_use,alcohol|opioids,adult|young_adult,,medicaid_medicare|private|uninsured,outpatient,mat,english
Victory Programs Inc Victory House,404 South Huntington Avenue,Jamaica Plain,MA,2130,617-262-5032,https://www.vpi.org,,,national,findtreatment.gov,SA,dual_diagnosis,alcohol,adult|young_adult,veteran,medicaid_medicare,residential,cbt|mat|twelve_step,english
LEADER McLean Hospital,115 Mill Street,Belmont,MA,2478,617-855-3141,https://www.mcleanhospital.org/programs/leader,42.3948369,-71.1955271,national,findtreatment.gov,MH,dual_diagnosis,,adult|older_adult|young_adult,veteran,medicaid_medicare|private|uninsured|va_tricare,intensive_outpatient|residential|telehealth,cbt|mat,english
Victory Programs Inc Living and Recovery Community,170 Morton Street,Jamaica Plain,MA,2130,617-522-2936 x424,https://www.vpi.org,42.30041,-71.105673,national,findtreatment.gov,SA,dual_diagnosis,alcohol,adult|young_adult,veteran|woman,medicaid_medicare,residential,cbt|mat|twelve_step,english
Victory Programs Inc Womens Hope,170 Morton Street,Jamaica Plain,MA,2130,617-442-0048 x315,https://www.vpi.org,42.3389582,-71.0876222,national,findtreatment.gov,SA,dual_diagnosis,alcohol,adult|young_adult,woman,medicaid_medicare,residential,cbt|mat|twelve_step,english
VOA Behavioral Health Services,5 Post Office Square,Taunton,MA,2780,508-822-4027,https://www.voamass.org,41.9015476,-71.0944441,national,findtreatment.gov,SA,dual_diagnosis,alcohol|opioids,,veteran|woman,medicaid_medicare|private|uninsured|va_tricare,outpatient|telehealth,cbt|mat,english
South Middlesex Opportunity Council Rhodes to Recovery,5 Rhodes Street,Millbury,MA,1527,508-581-7821,https://www.smoc.org,42.182269,-71.7688609,national,findtreatment.gov,SA,dual_diagnosis,alcohol,adult|young_adult,veteran|woman,medicaid_medicare|private|uninsured,residential|telehealth,mat|twelve_step,english
Charlestown Recovery Home,15 Bunker Hill Street,Charlestown,MA,2129,617-242-0088,https://www.gavinfoundation.org,42.3762129,-71.0562303,national,findtreatment.gov,SA,substance_use,alcohol|opioids,adult|young_adult,,medicaid_medicare|private,residential,cbt|mat|twelve_step,english
Gavin Foundation Center for Recovery Services,210 Old Colony Avenue,Boston,MA,2127,617-268-5000 x1,https://www.gavinfoundation.org,42.3330016,-71.0537,national,findtreatment.gov,SA,dual_diagnosis,alcohol|opioids,adult|young_adult,woman,medicaid_medicare|private|uninsured,intensive_outpatient|outpatient|telehealth,cbt|mat|twelve_step,english
Taunton Comprehensive Treatment Center Habit Opco LLC,66 Main Street,Taunton,MA,2780,508-880-1598,https://www.ctcprograms.com/location/taunton-comprehensive-treatment-center,41.9019234,-71.0899645,national,findtreatment.gov,SA,dual_diagnosis,alcohol|opioids,adult|young_adult,veteran|woman,medicaid_medicare|private|uninsured|va_tricare,outpatient|telehealth,cbt|mat,english
North Suffolk Community Services Revere Counseling Center,265 Beach Street,Revere,MA,2151,866-781-6727,https://northsuffolk.org/,42.4090179,-71.0069045,national,findtreatment.gov,MH,mental_health,,adolescent|adult|older_adult|young_adult,,medicaid_medicare|private|uninsured,outpatient|telehealth,cbt|mat,english
Mentor South Bay,607 Pleasant Street,Attleboro,MA,2703,508-223-4691,https://www.mentorsouthbay.com,41.9530782,-71.2661856,national,findtreatment.gov,MH,dual_diagnosis,,adolescent|adult|older_adult|young_adult,veteran,medicaid_medicare|private|uninsured,outpatient|telehealth,cbt|mat,english
MENTOR South Bay,541 Main Street,South Weymouth,MA,2190,781-331-7866,https://mentorsouthbay.com,42.1879521,-70.9560209,national,findtreatment.gov,MH,dual_diagnosis,,adolescent|adult|older_adult|young_adult,,medicaid_medicare|private,outpatient|telehealth,cbt|mat,english
Heywood Hospital,242 Green Street,Gardner,MA,1440,978-632-3420,https://www.heywood.org,42.586257,-71.986511,national,findtreatment.gov,MH,mental_health,,adult|older_adult|young_adult,,medicaid_medicare|private|uninsured|va_tricare,intensive_outpatient|outpatient|residential|telehealth,cbt|mat,english
Holyoke Medical Center Inc Partial Hosp and Intensive Outpt Prog,575 Beech Street,Holyoke,MA,1040,413-534-2653,https://www.holyokehealth.com,42.2003761,-72.6275517,national,findtreatment.gov,MH,dual_diagnosis,,adult|older_adult|young_adult,veteran,medicaid_medicare|private|uninsured|va_tricare,intensive_outpatient|outpatient|residential|telehealth,cbt|mat,english
Gould Farm,100 Gould Road,Monterey,MA,1245,413-528-1804,https://www.gouldfarm.org,42.1747458,-73.2411074,national,findtreatment.gov,MH,mental_health,,adult|older_adult|young_adult,,private|uninsured,outpatient|residential,cbt|mat,english
Mental Health Clinic Outpatient Services/Urgent and Ongoing,100 Independence Drive,Hyannis,MA,2601,508-778-1839,https://cfservices.org,41.6724021,-70.2983136,national,findtreatment.gov,MH,dual_diagnosis,,adolescent|adult|older_adult|young_adult,,medicaid_medicare|private|uninsured|va_tricare,outpatient|telehealth,cbt|mat,english
McAuley Nazareth Inc,77 Mulberry Street,Leicester,MA,1524,508-892-4886 x23,https://www.mcauleynazareth.org,42.2583787,-71.8889705,national,findtreatment.gov,MH,mental_health,,adolescent|adult,,,residential,cbt|mat,english
CHD Outpatient Behavioral Health Servs,246 Park Street,West Springfield,MA,1089,413-737-4718,https://www.CHD.org,42.1041415,-72.6233865,national,findtreatment.gov,MH,dual_diagnosis,,adolescent|adult|older_adult|young_adult,,medicaid_medicare|private|uninsured|va_tricare,outpatient|telehealth,cbt|mat,english
Holy Family Hospital Methuen Center for Behavioral Medicine,70 East Street,Methuen,MA,1844,978-687-0156 x2947,https://www.holyfamilyhospital.org,42.7279031,-71.1680674,national,findtreatment.gov,MH,mental_health,,adult|older_adult|young_adult,,medicaid_medicare|private|uninsured|va_tricare,residential,mat,english
Holy Family Hospital Haverhill Center for Behavioral Medicine,,Haverhill,MA,1830,978-687-0156 x2947,https://www.holyfamilyhospital.org,,,national,findtreatment.gov,MH,mental_health,,older_adult,,medicaid_medicare|private|uninsured|va_tricare,residential,mat,english
Justice Resource Institute Inc Merrimack Center,,Tewksbury,MA,1876,978-851-0790 x38652,https://www.jri.org,,,national,findtreatment.gov,MH,mental_health,,adolescent|adult,,medicaid_medicare|private,residential|telehealth,cbt|mat,english
CHD Outpatient Behavioral Health Servs,65 Union Street,Easthampton,MA,1027,413-529-1764,https://www.chd.org,42.268209,-72.670578,national,findtreatment.gov,MH,dual_diagnosis,,adolescent|adult|older_adult|young_adult,,medicaid_medicare|private|uninsured|va_tricare,outpatient|telehealth,cbt|mat,english
Beth Israel Deaconess Medical Center Department of Psychiatry Ambulatory,330 Brookline Avenue,Boston,MA,2215,617-667-4735,https://www.bidmc.org,42.3396481,-71.1050255,national,findtreatment.gov,MH,dual_diagnosis,,adult|older_adult|young_adult,veteran,medicaid_medicare|private|uninsured|va_tricare,outpatient|telehealth,cbt|mat,english
Dr Solomon Carter Fuller Mental Health,85 East Newton Street,Boston,MA,2118,617-626-8700,https://www.departmentofmentalhealth.gov,42.3362574,-71.070829,national,findtreatment.gov,MH,dual_diagnosis,,adult|older_adult|young_adult,veteran,medicaid_medicare|private,residential,cbt|mat,english
Cutchins Prog for Children/Families The Childrens Clinic,17 Brewster Court,Northampton,MA,1060,413-587-3265,https://www.cutchins.org/,42.317483,-72.630089,national,findtreatment.gov,MH,mental_health,,adolescent|adult|young_adult,,medicaid_medicare|private|uninsured|va_tricare,outpatient|telehealth,cbt|mat,english
Cooley Dickinson Hospital Behavioral Health Unit,30 Locust Street,Northampton,MA,1060,413-582-2151,https://www.cooleydickinson.org/,42.3305027,-72.6531304,national,findtreatment.gov,MH,dual_diagnosis,,adult|older_adult|young_adult,veteran,medicaid_medicare|private|uninsured|va_tricare,residential,cbt|mat,english
Brien Center MH/Subst Abuse Servs/Satellite,251 Fenn Street,Pittsfield,MA,1201,413-499-0412 x1374,https://www.briencenter.org,42.4499275,-73.2482467,national,findtreatment.gov,MH,dual_diagnosis,,adolescent|adult|young_adult,,medicaid_medicare|private|uninsured|va_tricare,outpatient|telehealth,cbt|mat,english
Brien Center,124 American Legion Drive,North Adams,MA,1247,413-664-4541,https://www.briencenter.org,42.6959091,-73.111817,national,findtreatment.gov,MH,dual_diagnosis,,adolescent|adult|older_adult|young_adult,,medicaid_medicare|private|uninsured|va_tricare,outpatient|telehealth,cbt|mat,english
Cape Cod and Islands CMHC,830 County Road,Pocasset,MA,2559,508-564-9600,https://www.mass.gov/eohhs/gov/departments/dmh/,41.6885,-70.601958,national,findtreatment.gov,MH,dual_diagnosis,,adult|older_adult|young_adult,,medicaid_medicare|private|uninsured|va_tricare,intensive_outpatient|residential,cbt|mat,english
Beth Israel Lahey Health Behavioral Services/Solstice Day School,20 Bowlery Drive,Rowley,MA,1969,978-726-0298,https://www.solsticedayschool.org,42.7381859,-70.8812533,national,findtreatment.gov,MH,mental_health,,adolescent|adult|young_adult,,,outpatient,cbt,english
Lahey Health Behavioral Services Beverly Clinic,800 Cummings Center,Beverly,MA,1915,978-921-1190,https://www.nebhealth.org,42.5609592,-70.8873378,national,findtreatment.gov,MH,dual_diagnosis,,adolescent|adult|older_adult|young_adult,veteran,medicaid_medicare|private|uninsured|va_tricare,outpatient|telehealth,cbt|mat,english
Stevens Treatment Programs Residential Treatment Center,24 Main Street,Swansea,MA,2777,508-679-0183,https://www.stevensprograms.org,41.74867,-71.18917,national,findtreatment.gov,MH,mental_health,,adolescent|adult|young_adult,,,residential,cbt|mat,english
Community Counseling of Bristol County Day Treatment Program,19 Cedar Street,Taunton,MA,2780,508-823-6124,https://www.comcounseling.org,41.9028683,-71.0896841,national,findtreatment.gov,MH,dual_diagnosis,,adult|older_adult|young_adult,,medicaid_medicare|uninsured,intensive_outpatient|telehealth,cbt,english
UMASS Harrington Hospital Outpatient Behavioral Health,29 Pine Street,Southbridge,MA,1550,508-765-2207,https://www.harringtonhospital.org/services/behavioral_health_services,42.0802158,-72.0375242,national,findtreatment.gov,MH,dual_diagnosis,,adult|older_adult|young_adult,,medicaid_medicare|private|uninsured|va_tricare,intensive_outpatient|outpatient|telehealth,cbt|mat,english
Behavioral Health Network (BHN) Valley Human Services Outpatient Trt,,Ware,MA,1082,413-301-9400,https://www.bhninc.org,,,national,findtreatment.gov,MH,dual_diagnosis,,adolescent|adult|older_adult|young_adult,,medicaid_medicare|private|uninsured|va_tricare,outpatient|telehealth,cbt|mat,english
Walden Behavioral Care LLC Inpatient,10 Carematrix Drive,Dedham,MA,2026,781-647-6764,https://www.waldenbehavioralcare.com/,42.369549,-71.24938,national,findtreatment.gov,MH,mental_health,,adolescent|adult|older_adult|young_adult,,medicaid_medicare|private|uninsured,residential|telehealth,cbt|mat,english
Marblehead Counseling Center Inc,66 Clifton Avenue,Marblehead,MA,1945,781-631-8273,https://www.marbleheadcounseling.org,42.484094,-70.880171,national,findtreatment.gov,MH,mental_health,,adolescent|adult|older_adult|young_adult,,medicaid_medicare|private|uninsured|va_tricare,outpatient|telehealth,cbt,english
VA Central Western Massachusetts Fitchburg CBOC,Phillip J Philbin Federal Building,Fitchburg,MA,1420,413-584-4040 x6200,https://www.centralwesternmass.va.gov,42.5861326,-71.8047316,national,findtreatment.gov,MH,dual_diagnosis,,adult|older_adult|young_adult,veteran,medicaid_medicare|private|uninsured|va_tricare,outpatient|telehealth,cbt|mat,english
Brigham and Womens Faulkner Hospital,1153 Centre Street,Jamaica Plain,MA,2130,617-983-7474,https://www.brighamandwomensfaulkner.org/programs-and-services/addiction-recovery-program/default,42.3014851,-71.1282337,national,findtreatment.gov,MH,dual_diagnosis,,adult|older_adult|young_adult,,medicaid_medicare|private|uninsured,intensive_outpatient|outpatient|residential|telehealth,cbt|mat,english
VA Central Western Massachusetts Worcester CBOC,403 Belmont Street,Worcester,MA,1604,413-856-0104 x6600,https://www.centralwesternmass.va.gov,42.2755314,-71.7607845,national,findtreatment.gov,MH,dual_diagnosis,,adult|older_adult|young_adult,veteran,medicaid_medicare|private|uninsured|va_tricare,outpatient|telehealth,cbt|mat,english
VA Central Western Massachusetts Springfield CBOC,25 Bond Street,Springfield,MA,1104,413-584-4040 x6007,https://www.centralwesternmass.va.gov,42.1100632,-72.5995529,national,findtreatment.gov,MH,dual_diagnosis,,adult|older_adult|young_adult,veteran,medicaid_medicare|private|uninsured|va_tricare,outpatient|telehealth,cbt|mat,english
