name,address,city,state,zip,phone,website,primary_focus,substances,age_groups,identity_factors,insurance,settings,therapy_approaches,languages,dmh_region,notes
Pocasset Mental Health Center                      Telephone #                  Person in Charge,,"LICSW
Pocasset",MA,02559,(508) 564-9600,,mental_health,,,,,,,english,Southeast,DMH Resource Directory 2025
Corrigan Mental Health Center                      Telephone #                  Person in Charge,,"LICSW
Fall River",MA,02720,(508) 235-7200,,mental_health,,,,,,,english,Southeast,DMH Resource Directory 2025
Brockton Site Office                                     Telephone #                        Person in Charge,2075                 Site Direct,"or
   Brockton",MA,02302,(508) 897-2000,,mental_health,,,lgbtq,,,,english,Southeast,DMH Resource Directory 2025
Cape Cod & The Islands Site Office                       Telephone #                        Person in Charge,7346                 Site Direct,"or
   Fall River",MA,02720,(508) 957-0900,,mental_health,,,lgbtq,,,,english,Southeast,DMH Resource Directory 2025
Fall River Site Office                                   Telephone #                        Person in Charge,7346                 Site Direct,"or
   Fall River",MA,02720,(508) 235-7200,,mental_health,,,,,,,english,Southeast,DMH Resource Directory 2025
"Corrigan Mental Health Center                            (508) 235-7200                     Jeanne Crespi, LICSW",7346                 Site Direct,"or
   Fall River",MA,02720,(508) 235-7200,,mental_health,,,,,,,english,Southeast,DMH Resource Directory 2025
New Bedford Site Office                                  Telephone #                        Person in Charge,,"LMHC
   New Bedford",MA,02740,(508) 996-7900,,mental_health,,,,,,,english,Southeast,DMH Resource Directory 2025
Plymouth Site Office                                     Telephone #                        Person in Charge,,"MSW
   Plymouth",MA,02360,(508) 732-3000,,mental_health,,,,,,,english,Southeast,DMH Resource Directory 2025
Quincy Site Office                                       Telephone #                 Person in Charge,,"Site Director
   Quincy",MA,02169,(617) 984-1000,,mental_health,,,,,,,english,Southeast,DMH Resource Directory 2025
"Quincy Mental Health Center                              (617) 984-1000              Laura Ruscio, MSW, LICSW",,"Site Director
   Quincy",MA,02169,(617) 984-1000,,mental_health,,,,,,,english,Southeast,DMH Resource Directory 2025
Taunton/Attleboro Site Office                            Telephone #                 Person in Charge,,"MA
   Taunton",MA,02780,(508) 977-3174,,mental_health,,,,,,,english,Southeast,DMH Resource Directory 2025
Acton Site Office                                       Telephone #                   Person in Charge,"2100                Alicia Stacy, MPA,","LSW
Acton",MA,01720,(978) 206-2100,,mental_health,,,,,,,english,Northeast,DMH Resource Directory 2025
Essex North Site Office                                 Telephone #                   Person in Charge,"4500                Steven Noroian,","LMHC
Lawrence",MA,01843,(978) 738-4500,,mental_health,,,,,,,english,Northeast,DMH Resource Directory 2025
Lowell Site Office                                      Telephone #                   Person in Charge,"5000                Gerard Frater, MSW,","LICSW
Lowell",MA,01851,(978) 322-5000,,mental_health,,,,,,,english,Northeast,DMH Resource Directory 2025
Lynn Site Office                                        Telephone #                   Person in Charge,"178 Albion Street, Suite 410                            Telephone #","Person in Charge
Wakefield",MA,01880,(781) 477-2070,,mental_health,,,,,,,english,Northeast,DMH Resource Directory 2025
Metro North Site Office,"178 Albion Street, Suite 410                            Telephone #","Person in Charge
Wakefield",MA,01880,(781) 224-7900,,mental_health,,,,,,,english,Northeast,DMH Resource Directory 2025
North Shore Site Office                                 Telephone #              Person in Charge,,"LMHC
 Salem",MA,01970,(978) 741-7300,,mental_health,,,,,,,english,Northeast,DMH Resource Directory 2025
North County Site Office                                      Telephone #                  Person in Charge,,"LMHC
Fitchburg",MA,01420,(978) 353-4400,,mental_health,,adolescent,,,,,english,Central MA,DMH Resource Directory 2025
South County Site Office                                      Telephone #                  Person in Charge,9721           Site Direct,"or
Canton",MA,02021,(508) 887-1100,,mental_health,,adolescent,,,,,english,Central MA,DMH Resource Directory 2025
Worcester Site Office                                         Telephone #                  Person in Charge,9721           Site Direct,"or
Canton",MA,02021,(774) 420-3100,,mental_health,,adolescent,,,,,english,Central MA,DMH Resource Directory 2025
Canton Site Office,9721           Site Direct,"or
Canton",MA,02021,(781) 401-9700,,mental_health,,adolescent,,,,,english,Central MA,DMH Resource Directory 2025
Pappas Rehabilitation Hospital for Children                   Telephone #                  Person in Charge,9721           Site Direct,"or
Canton",MA,02021,(781) 401-9700,,mental_health,,adolescent,,,,,english,Central MA,DMH Resource Directory 2025
Westborough Site Office                                      Telephone #           Person in Charge,"2864    Site Director
 West",borough,MA,01581,(508) 616-2801,,mental_health,,,,,,,english,Central MA,DMH Resource Directory 2025
Berkshire Site Office                                        Telephone #                 Person in Charge,,"LICSW
Pittsfield",MA,01201,(413) 395-2000,,mental_health,,,,,,,english,Western MA,DMH Resource Directory 2025
Franklin/North Quabbin Site Office                           Telephone #                 Person in Charge,,"LICSW
Greenfield",MA,01301,(413) 772-5600,,mental_health,,,,,,,english,Western MA,DMH Resource Directory 2025
Hampshire Site Office                                        Telephone #                 Person in Charge,,"LMHC
Northampton",MA,01060,(413) 587-6200,,mental_health,,,,,,,english,Western MA,DMH Resource Directory 2025
Holyoke/Chicopee Site Office                                 Telephone #                 Person in Charge,,"LCSW
Springfield",MA,01104,(413) 452-2300,,mental_health,,,,,,,english,Western MA,DMH Resource Directory 2025
Springfield Site Office                                     Telephone #              Person in Charge,"6200           Christine Fowle,","B.A.
 Northampton",MA,01060,(413) 452-2300,,mental_health,,,,,,,english,Western MA,DMH Resource Directory 2025
Westfield Site Office                                       Telephone #              Person in Charge,"6200           Christine Fowle,","B.A.
 Northampton",MA,01060,(413) 587-6200,,mental_health,,,,,,,english,Western MA,DMH Resource Directory 2025
"If you have any questions or comments about this directory, please contact the Office of Race,",,,MA,,(617) 626-8134,https://mass.gov/service-,mental_health,,,accessibility|immigrant_refugee|lgbtq,,,,english,Statewide,DMH Multicultural Directory 2019
EMERGENCY LINE,,,MA,,877-382-1609,https://mass.gov/dmh,dual_diagnosis,,,,,,,english,Statewide,DMH Multicultural Directory 2019
MASSACHUSETTS DEPARTMENT OF MENTAL HEALTH (DMH),"25 Staniford Street,",Boston,MA,02114,800-221-0053,https://mass.gov/dmh,mental_health,,,,,,,english,Statewide,DMH Multicultural Directory 2019
Help is available for those with a drug or alcohol problem at helpline-online.org or,"250 Washington Street,",Boston,MA,02108,800-720-3480,https://mass.gov/eohhs/gov/departments/dph/programs/substance-abuse,dual_diagnosis,alcohol,adolescent,accessibility,,,,english,Statewide,DMH Multicultural Directory 2019
HEARING (MCDHH),"600 Washington Street,",Boston,MA,02111,617-740-1600,https://mass.gov/eohhs/gov/departments/mcdhh,dual_diagnosis,,,accessibility|immigrant_refugee,,,,english,Statewide,DMH Multicultural Directory 2019
MASSACHUSETTS OFFICE FOR REFUGEES AND IMMIGRANTS (MORI),"600 Washington Street,",Boston,MA,02111,617-727-7888,https://mass.gov/eohhs/gov/departments/ori,dual_diagnosis,,,accessibility|immigrant_refugee,,,,english,Statewide,DMH Multicultural Directory 2019
MASS 2-1-1,,,MA,,877-211-6277,https://mass.gov/eohhs/gov/departments/ori/key-resources.html,dual_diagnosis,,,immigrant_refugee,,,,english,Statewide,DMH Multicultural Directory 2019
MASSACHUSETTS REHABILITATION COMMISSION (MRC),"600 Washington Street,",Boston,MA,02111,617-204-3600,https://massoptions.org,dual_diagnosis,,older_adult,accessibility,,,,english|spanish,Statewide,DMH Multicultural Directory 2019
ADVOCATES,,Framingham,MA,01701,800-640-5432,https://advocates.org,dual_diagnosis,,,accessibility,,,,english,Statewide,DMH Multicultural Directory 2019
ASPERGER / AUTISM NETWORK,"51 Water Street, Suite 206,",Watertown,MA,02472,617- 393-3824,https://advocates.org,dual_diagnosis,,,,,,,english,Statewide,DMH Multicultural Directory 2019
"BROCKTON AREA MULTI-SERVICES, INC. (BAMSI)",,Brockton,MA,02301,508-580-8700,https://baycove.org,dual_diagnosis,alcohol,adolescent|older_adult,accessibility,,,,cape_verdean_creole|english|portuguese,Statewide,DMH Multicultural Directory 2019
"Helpline for health care, social services, financial assistance, housing, and food pantries:",,Brockton,MA,02301,508-584-4357,https://baycove.org,dual_diagnosis,alcohol,adolescent|older_adult,accessibility,,,,cape_verdean_creole|english|portuguese,Statewide,DMH Multicultural Directory 2019
CAMBRIDGE HEALTH ALLIANCE,"1493 Cambridge Street,",Cambridge,MA,02139,617-665-1305,https://bamsi.org,dual_diagnosis,,adolescent,accessibility,,,,cape_verdean_creole|english|portuguese,Statewide,DMH Multicultural Directory 2019
“LINK-KID”,,,MA,,855-456-5543,https://challiance.org,dual_diagnosis,,adolescent,accessibility,,,,cape_verdean_creole|english|portuguese,Statewide,DMH Multicultural Directory 2019
DISABILITY LAW CENTER,"11 Beacon Street, Suite 925,",Boston,MA,02108,617-723-8455,https://deafinconline.org,mental_health,,adolescent,accessibility|lgbtq,,,,english|mandarin|portuguese|spanish,Statewide,DMH Multicultural Directory 2019
FEDERATION FOR CHILDREN WITH SPECIAL NEEDS,"529 Main Street,",Boston,MA,02129,617-236-7210,https://frcma.org,mental_health,,adolescent,accessibility|lgbtq,,,,english|french|haitian_creole|mandarin|portuguese|spanish,Statewide,DMH Multicultural Directory 2019
JAPANESE BOSTONIANS SUPPORT LINE,,,MA,,781-296-1800,https://hmhnetwork.org/boston-based-agencies,mental_health,,adult,accessibility,,residential,,english|japanese,Statewide,DMH Multicultural Directory 2019
JUSTICE RESOURCE INSTITUTE,"160 Gould Street, Suite 300,",Needham,MA,02494,781-559-4900,https://hmhnetwork.org/boston-based-agencies,mental_health,,adult,accessibility,,residential,,english|japanese,Statewide,DMH Multicultural Directory 2019
MASSACHUSETTS ADULT DAY SERVICES ASSOCIATION,"1 Florence Street,",Boston,MA,02131,617-469-5848,https://jri.org,mental_health,,adult,accessibility,,residential,,english,Statewide,DMH Multicultural Directory 2019
MASSACHUSETTS LEAGUE OF COMMUNITY HEALTH CENTERS,"40 Court Street #10,",Boston,MA,02108,617-426-2225,https://masspartnership.com,dual_diagnosis,alcohol,adolescent,homeless|immigrant_refugee,,,,english,Statewide,DMH Multicultural Directory 2019
MASSACHUSETTS ORGANIZATION FOR ADDICTION RECOVERY,"29 Winter Street, 2nd Floor,",Boston,MA,02108,617-423-6627,https://moar-recovery.org,dual_diagnosis,alcohol,adolescent,accessibility|homeless|immigrant_refugee,,,,english,Statewide,DMH Multicultural Directory 2019
PARENT/PROFESSIONAL ADVOCACY LEAGUE (PPAL),,Boston,MA,02108,866-815-8122,https://nami.org,mental_health,,adolescent|adult|young_adult,woman,,,,bengali|english|gujarati|haitian_creole|hindi|nepali|punjabi|spanish|tamil|urdu,Statewide,DMH Multicultural Directory 2019
SAHELI,,Burlington,MA,01803,866-472-4354,https://ppal.net/wp-content/uploads/2011/01/Child-,mental_health,,adolescent|adult|young_adult,accessibility|woman,,,,bengali|english|gujarati|haitian_creole|hindi|nepali|punjabi|spanish|tamil|urdu,Statewide,DMH Multicultural Directory 2019
"1 Frederick Abbott Way, Framingham, MA 01701","1 Frederick Abbott Way,",Framingham,MA,01701,508-879-9800,https://transformation-center.org,dual_diagnosis,,adolescent|adult|older_adult|young_adult,accessibility|immigrant_refugee,,residential,,english|spanish,Statewide,DMH Multicultural Directory 2019
Arbour Counseling Services ns/arbour-counseling-serv Asian American Civi Association 617-426-9492 Asian Task Force Agai Domestic Violence 617-338-2350 24 hour Multilingual Helpli 617-338-2355 2019 DMH MULTICU,P.O. Box 120108,Boston,MA,02112,617-782-6460,https://arbourhealth.com/organiz,mental_health,,adolescent|young_adult,,,residential,,bengali|cantonese|english|french|hebrew|hindi|italian|japanese|khmer|korean|lao|mandarin|nepali|russian|spanish|tagalog|thai|urdu|vietnamese,Metro Boston,DMH Multicultural Directory 2019
"Association of Haitia Women in Boston Boston Alliance of Ga Lesbian, Bisexual, an Transgender Youth In 617-227-4313 Boston Asian: Youth Essential Service, Inc 617-482-4243 Boston Center for Refugee Health and Human Rights 617-414-4794 Boston Chinatown Neighborhood Cente 617-635-5129 2019 DMH MULTICU",38 Ash Street,Boston,MA,02111,617-287-0096,https://afab-kafanm.org,dual_diagnosis,,adolescent|adult,immigrant_refugee|lgbtq|woman,,,,asl|cantonese|english|haitian_creole|mandarin|multilingual_interpretation|vietnamese,Metro Boston,DMH Multicultural Directory 2019
"Boston Children’s Hospital Department Psychiatry and-services/department- psychiatry Boston GLASS For LGBTQ+ youth, homel youth, and youth living wi HIV ages 13-29 857-399-1920 housing/health/boston-gl Boston Mayor’s Heal Line floor 800-847-0710 health-line Boston Medical Cente Immigrant & Refuge Program 617-414-5951 2019 DMH MULTICU",725 Albany Street,Boston,MA,02118,617-355-6680,https://childrenshospital.org/cent,dual_diagnosis,,adolescent,accessibility|immigrant_refugee|lgbtq|woman,,outpatient|residential,,cape_verdean_creole|english|haitian_creole|multilingual_interpretation|portuguese|spanish,Metro Boston,DMH Multicultural Directory 2019
"Brazilian Immigran Center Brazilian Women’s Group 617-202-5775 Casa Esperanza 617-445-1123 Casa Myrna Vazquez, I 617-521-0100 Domestic Violence Hotlin 877-785-2020 2019 DMH MULTICU",P.O. Box 180019,Boston,MA,02118,617-783-8001,https://braziliancenter.org,dual_diagnosis,,adolescent,woman,,residential,,english|portuguese|spanish,Metro Boston,DMH Multicultural Directory 2019
"Center Club, a progra of Bay Cove Human Services 617-788-1091 (Spanish) Center for Cross-Cultu Student Emotional Wellness 617-726-2000 ervices/ccsew_home.asp Children’s Services o Roxbury Specializes in serving the African-American populatio Greater Boston 617-445-6655 2019 DMH MULTICU",504 Dudley Street,Roxbury,MA,02119,617-788-1000,https://centerclubboston.org,dual_diagnosis,,adolescent|adult|young_adult,,,outpatient,,cantonese|cape_verdean_creole|english|haitian_creole|mandarin|spanish,Metro Boston,DMH Multicultural Directory 2019
"Community Legal Services and Counseli Center Deaf and Hard of Hearing Service, Cambridge Health Alliance 617-665-3458 Dorchester House Hea Multi-Service Cente 617-740-2212 Emerge: Counseling a Education to Stop Domestic Violence Suite 101 617-547-9879 2019 DMH MULTICU",2464 Massachusetts Avenu,Cambridge,MA,02140,617-661-1010,https://clsacc.org,dual_diagnosis,,,accessibility|immigrant_refugee,,,,asl|english|french|spanish|vietnamese,Metro Boston,DMH Multicultural Directory 2019
Eritrean Community Center Ethiopian Communit Mutual Assistance Association 617-492-4232 Fenway Health Healthcare for the LGBTQ community 617-267-0900 617-247-7555 617-457-8140 2019 DMH MULTICU,75 Kneeland Street,Boston,MA,02111,617-427-1210,https://eccboston.org,dual_diagnosis,,adult,lgbtq,,outpatient,,english|spanish,Metro Boston,DMH Multicultural Directory 2019
Freedom Trail Clinic Deaf and Hard of Hearing Outpatient Mental Health lt-services/deaf-and-hard- hearing-outpatient-clinic services Frosina Information Network Albanian Cultural Resource Information Center 617-482-2002 Guidance Center 617-354-2275 2019 DMH MULTICU,5 Sacramento Street,Cambridge,MA,02138,617-912-7800,https://northsuffolk.org/services/,mental_health,,adolescent,accessibility,,outpatient,,asl|cantonese|english|haitian_creole|mandarin|portuguese|spanish,Metro Boston,DMH Multicultural Directory 2019
Haitian American Pub Health Initiative 1601-1603 Blue Hill Avenu Haitian Mental Healt Network Email:HMHnetwork@gmail.c Harvard Program in Refugee Trauma 617-876-7879 Home for Little Wanderers 617-267-3700 Multiple sites in Boston ar 2019 DMH MULTICUL,10 Guest Street,Boston,MA,02135,617-298-8076,https://haphi.org,mental_health,,adolescent,immigrant_refugee,,residential,,english|french|haitian_creole|mandarin|spanish,Metro Boston,DMH Multicultural Directory 2019
Inquilinos Boricuas E Accion Irish International Immigrant Center 617-542-7654 Irish Pastoral Cente 617-265-5300 Italian Home for Children 617-787-1901 2019 DMH MULTICUL,77 Warren Street,Brighton,MA,01235,617-927-1707,https://iba-etc.org,dual_diagnosis,alcohol,adolescent,immigrant_refugee,,,,english|french|haitian_creole|spanish,Metro Boston,DMH Multicultural Directory 2019
"Kit Clark Senior Servi La Alianza Hispana, In 617-427-7175 Latino Health Insuran Program Iglesia Cristiana Nueva Vid 617-567-0235 Ext. 2 Massachusetts Alliance Portuguese Speaker 617-864-7600 Locations in Somerville, Brighton, and Dorchester 2019 DMH MULTICUL",1046 Cambridge Street,Cambridge,MA,02139,617-788-1083,https://kitclark.org,dual_diagnosis,,adolescent|older_adult,immigrant_refugee,,outpatient,,english|haitian_creole|portuguese|spanish|vietnamese,Metro Boston,DMH Multicultural Directory 2019
"Massachusetts Societ for the Prevention o Cruelty to Children Native American Lifelines of Boston 857-203-9680 nativeamericanlifelines.o North American India Center of Boston, Inc 617-232-0343 North Suffolk Menta Health Association, In 617-889-3300 Locations in East Boston a Revere 2019 DMH MULTICUL",301 Broadway Street,Chelsea,MA,02128,617-983-5800,https://mspcc.org,dual_diagnosis,,adolescent|adult|older_adult,,,outpatient,,asl|cantonese|english|haitian_creole|khmer|mandarin|portuguese|spanish|vietnamese,Metro Boston,DMH Multicultural Directory 2019
"Osiris Family Institu Priority Professiona Care 857-598-4774 Pyramid Builders Counseling Services, I 857-267-2059 Refugee and Immigra Assistance Center 617-238-2430 2019 DMH MULTICUL",31 Heath Street,Jamaica Plain,MA,02130,617-442-2002,https://osirisinstitute.com,dual_diagnosis,,adolescent,immigrant_refugee,,,,arabic|cape_verdean_creole|english|french|haitian_creole|portuguese|somali|spanish,Metro Boston,DMH Multicultural Directory 2019
"Roca, Inc. Roxbury Multi-Servic Center 617-989-0292 Somali Developmen Center 10 Malcolm X Blvd. 2nd Flo 617-522-0700 South Bay Communi Service, Dorchester Mental Health Clinic 857-217-3700 southbaycommunityservices. 2019 DMH MULTICUL","415 Neponset Avenue, 3rd Fl",Dorchester,MA,02122,617-889-5210,https://rocainc.org,dual_diagnosis,,adolescent|adult,,,,,arabic|asl|cantonese|english|haitian_creole|mandarin|portuguese|somali|spanish|vietnamese,Metro Boston,DMH Multicultural Directory 2019
Trauma Center Ummah Health 617-858-6114 Vietnamese America Civic Association 617-288-7344 Vietnamese America Initiative for Development 617-822-3717 Women’s Center 617-354-6394 cambridgewomenscenter. 2019 DMH MULTICUL,46 Pleasant Street,Cambridge,MA,02139,617-232-1303,https://traumacenter.org,mental_health,alcohol,adolescent|adult|young_adult,woman,,outpatient,,arabic|english|spanish|vietnamese,Metro Boston,DMH Multicultural Directory 2019
"Advocates, Inc. and Advo Deaf Services Video Phone: 774-999-06 Email: DeafInquiries@Advoca African Children Educa 508-799-3653 ARISE (Advocacy for Re and Immigrant Service Empowerment) 617-446-3706 Ascentria Care Allian 774-243-3100 2019 DMH MULTICUL",11 Shattuck Street,Worcester,MA,01605,508-628-6300,https://advocates.org,mental_health,,adolescent,accessibility|immigrant_refugee,,outpatient|residential,,arabic|asl|english|haitian_creole|nepali|somali,Central MA,DMH Multicultural Directory 2019
"Boston Health Care Callahan Center 508-532-5980 Center for Health Imp 508-756-6676 centerforhealthimpact. Center for Living an Working, Inc.: Deaf and of Hearing Independ Living Services Denholm Building, Suite 3 Voice: 508-798-0350 Video Phone: 508-762-11 2019 DMH MULTICUL",484 Main Street,Worcester,MA,01608,508-660-7974,https://bostonhealthcareinc.co,dual_diagnosis,,adolescent|adult|older_adult,accessibility,,,,arabic|asl|english|spanish|urdu,Central MA,DMH Multicultural Directory 2019
"Centro Las America Children’s Friend 508-753-5425 s-friend Community Healthlink 508-791-3261 communityhealthlink.o Counseling and Assessm Clinic of Worcester, L 508-756-5400 978-345-9400 2019 DMH MULTICUL","33 Electric Avenue, Suite 2",Fitchburg,MA,01420,508-798-1900,https://centroinc.org,dual_diagnosis,,adolescent|adult,,,outpatient,,arabic|english|french|haitian_creole|italian|portuguese|spanish|thai|vietnamese,Central MA,DMH Multicultural Directory 2019
Everyday Miracles everydaymiraclesprsc. Family Continuity Prog (FCP) 508-755-0556 508-234-4181 Friendly House 508-755-4362 2019 DMH MULTICUL,36 Wall Street,Worcester,MA,01604,508-799-6227,https://familycontinuity.org,mental_health,,,homeless,,outpatient,,arabic|english|nepali|somali|spanish,Central MA,DMH Multicultural Directory 2019
"Hearing Loss Associati Central Massachuset Headquarters address: Bethesda, MD 20814 Meetings at Northborough Li Northborough, MA 0153 Email: info@hearinglosscentra .com Hector Reyes Hous Latin American Heal Alliance 508-459-1801 Jewish Community Ce 508-756-7109 2019 DMH MULTICUL",633 Salisbury Street,Worcester,MA,01609,301-657-2248,https://hearinglosscentralma.wor,dual_diagnosis,alcohol,adolescent|older_adult,,,residential,,asl|english|portuguese|spanish,Central MA,DMH Multicultural Directory 2019
"Kiva Center Latino Health Insura Program 508-875-1237 Locations in Milford and Wor Learning Center for the Framingham, MA 0170 508-879-5110 Video Phone: 774-999-09 LUK Crisis Center 978-345-0685 508-640-0011 508-672-3000 2019 DMH MULTICUL",40 Southbridge Street,Worcester,MA,01608,508-751-9600,https://centralmassrlc.org,dual_diagnosis,,adolescent|adult|young_adult,accessibility,,residential,,asl|english|portuguese|spanish,Central MA,DMH Multicultural Directory 2019
"Martin Luther King J Opportunity Center, SM Multicultural Wellness C 508-752-4665 978-343-3336 multiculturalwellness. Our Deaf Survivors Ce 978-451-7225 Email: CBosdc414@gmail. 2019 DMH MULTICUL",12 Meade Street,Worcester,MA,01610,508-756-6330,https://mlkj-oc.org,dual_diagnosis,,,accessibility|homeless,,outpatient,,arabic|asl|bengali|cape_verdean_creole|english|french|haitian_creole|hindi|japanese|portuguese|punjabi|russian|spanish,Central MA,DMH Multicultural Directory 2019
Pathways for Change: Survivors Program Video Phone: 508-502-76 ncy-programs/deaf-survi program Refugee & Immigran Assistance Center Riverside Community 781-329-0909 2019 DMH MULTICUL,"270 Bridge Street, Suite 3",Dedham,MA,02026,508-756-7557,https://pathwaysforchange.help/p,mental_health,,adolescent,accessibility|immigrant_refugee,,outpatient,,arabic|asl|cantonese|english|french|korean|mandarin|portuguese|russian|somali|spanish,Central MA,DMH Multicultural Directory 2019
Sarah Care /Adult Day H SMOC Behavioral Hea Services 508-872-4853 508-460-9699 Southeast Asian Coaliti Central Massachuset 508-791-4373 2019 DMH MULTICULT,"484 Main Street, Suite 40",Worcester,MA,01608,508-756-7272,https://sarahcare.com/Worces,dual_diagnosis,,adolescent|adult|young_adult,immigrant_refugee|woman,,residential,,english|khmer|lao|mandarin|portuguese|spanish|thai|vietnamese,Central MA,DMH Multicultural Directory 2019
"Spanish American Cen spanishamericancenter UMass Memorial Health Behavioral/Psychiat Services 508-334-1000 Other locations in Worces umassmemorialhealthcar United Hmong of Massachusetts, Inc 978-343-3831 2019 DMH MULTICULT","21 Culley Street, Suite 10",Fitchburg,MA,01420,978-534-3145,https://unitedhmong.org,dual_diagnosis,,older_adult,homeless|woman,,outpatient|residential,,asl|english|spanish,Central MA,DMH Multicultural Directory 2019
Worcester Adult Day He Renaissance daycare/worcester_ma_ci l Youth Opportunities Up Inc. 508-849-5600 Zia Access Center At The Bridge of Central M 508-751-9600 At the Kiva Center 774-242-6364 2019 DMH MULTICULT,209 Shrewsbury Street,Worcester,MA,01602,508-831-7500,https://daycarein.com/adult,dual_diagnosis,,adolescent|adult|young_adult,lgbtq,,intensive_outpatient|outpatient|residential,,asl|english|portuguese|russian|spanish,Central MA,DMH Multicultural Directory 2019
"Alternative House, In Arbour Counseling Services 978-373-7010 978-686-8202 978-453-5736 Arbour Counseling Services Latino Program 617-855-2000 /Latino-services 2019 DMH MULTICULTURA",115 Mill Street,Belmont,MA,02478,978-937-5777,https://alternative-house.org,dual_diagnosis,,adult,lgbtq|woman,,,,english|khmer|portuguese|russian|spanish,Northeast,DMH Multicultural Directory 2019
"Bosnian Community Center for Resource Development, Inc. Cambodian Mutual Assistance Associatio 978-454-6200 Children’s Friend & Family Services—A Division of Justice Research Institute 781-592-5691 978-682-7289 2019 DMH MULTICULTURA",15 Union Street,Lawrence,MA,01840,781-593-0100,https://bccrd.org,mental_health,,adolescent,accessibility|immigrant_refugee,,outpatient,,arabic|cantonese|english|haitian_creole|hindi|khmer|lao|mandarin|nepali|somali|spanish|thai|vietnamese,Northeast,DMH Multicultural Directory 2019
Congolese Development Center Eliot Community Human Services 781-395-0704 Family Continuity Programs (FCP) 978-687-1617 978-927-9410 2019 DMH MULTICULTURA,"9 Centennial Drive, Suite 20",Peabody,MA,01960,781-593-0100,https://cd-c.org,dual_diagnosis,,adolescent,,,outpatient,,english|french|haitian_creole|mandarin|portuguese|spanish,Northeast,DMH Multicultural Directory 2019
International Institut of Lowell Jewish Family and Children’s Services 781-647-5327 Lahey/Northeast Behavioral Health 978-374-0414 978-922-0025 2019 DMH MULTICULTURA,298 Washington Street,Gloucester,MA,01930,978-459-9031,https://iine.org,dual_diagnosis,,adolescent|adult,immigrant_refugee,,intensive_outpatient|outpatient|residential,,english|french|haitian_creole|hebrew|japanese|russian|spanish,Northeast,DMH Multicultural Directory 2019
Lowell Community Health Metta Health Center Massachusetts Allianc of Portuguese Speake (MAPS) 978-970-1250 2019 DMH MULTICULTURA,11 Mill Street,Lowell,MA,01852,978-441-1700,https://lchealth.org,mental_health,,older_adult,immigrant_refugee,,,,english|french|hindi|khmer|lao|mandarin|portuguese|vietnamese,Northeast,DMH Multicultural Directory 2019
